gene_id	gene	product	protein_id	old_locus_tag	A1A_S7	A1B_S8	A1C_S9	A2A_S10	A2B_S11	A2C_S12	A3A_S13	A3B_S14	A3C_S15	C1A_S16	C1B_S17	C1C_S18	C2A_60ng_S19	C2B_100ng_S20	C2B_60ng_S21	C2C_100ng_S22	C2C_60ng_S23	C3A_100ng_S24	C3A_60ng_S25	C3B_60ng_S26	C3C_100ng_S27	C3C_60ng_S28	C4A_S29	C4B_S30	C4C_S31	C5A_S32	C5B_S33	C5C_S34	Mock_S35	P6A_S1	P6B_S2	P6C_S3	P7A_S4	P7B_S5	P7C_S6
TX50_RS00230		diflavin flavoprotein	WP_011131681.1		0	3	0	1	0	3	1	0	0	763	1545	958	341	949	655	1675	1178	544	605	1775	1237	1110	1411	1859	3040	2038	1222	1511	4	2094	2788	2725	491	598	846
TX50_RS00235	alaS	alanine--tRNA ligase	WP_011131682.1		4	3	0	3	0	5	0	0	4	860	2338	967	492	923	625	1396	1087	255	323	1089	405	354	807	674	955	701	357	464	2	3036	3492	3124	419	508	574
TX50_RS00240	speA	biosynthetic arginine decarboxylase	WP_011131683.1		0	5	0	8	0	0	0	0	3	147	239	719	134	270	198	562	397	59	130	443	162	173	192	162	307	128	81	77	2	338	471	422	522	813	850
TX50_RS00245	ndk	nucleoside-diphosphate kinase	WP_011131684.1		0	0	0	0	0	0	0	1	0	505	1131	207	126	226	200	451	293	73	138	628	198	161	313	351	506	150	79	95	2	1472	1800	1315	33	31	17
TX50_RS00250	thiO	glycine oxidase ThiO	WP_011131685.1		1	0	0	0	3	0	0	2	0	176	293	490	156	278	184	446	270	41	104	402	159	116	263	222	279	169	101	107	0	425	516	529	255	349	307
TX50_RS00255	gatB	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	WP_011131686.1		0	0	0	0	1	2	1	0	0	856	2047	1956	424	1025	682	1852	1191	197	305	968	500	383	776	694	932	569	329	405	1	2704	2812	2561	596	805	793
TX50_RS00260	coaE	dephospho-CoA kinase	WP_011131687.1		0	0	0	0	0	0	0	3	0	41	93	29	38	51	24	47	48	3	6	21	26	13	14	30	28	22	0	18	0	164	106	123	23	48	51
TX50_RS00265	argJ	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ	WP_036930400.1		0	7	2	0	0	0	4	1	0	64	107	272	26	128	57	208	148	49	31	131	50	49	75	92	148	120	49	57	0	139	222	176	178	229	351
TX50_RS00270		AAA family ATPase	WP_011131689.1		0	0	0	0	0	5	0	0	0	2747	5629	8205	1531	3002	1949	4832	3437	401	499	1402	635	507	1688	1301	445	1079	506	951	1	7007	9718	7420	2078	1905	1369
TX50_RS00275		aldo/keto reductase	WP_011131690.1		0	0	0	2	0	0	0	0	0	53	169	141	21	67	38	90	83	8	13	48	21	11	40	35	59	32	17	37	0	201	217	210	59	67	89
TX50_RS00280		class I SAM-dependent RNA methyltransferase	WP_011131691.1		0	1	3	0	0	0	0	0	0	109	194	263	83	107	87	185	179	67	53	131	59	61	101	76	60	94	70	86	0	281	212	306	262	277	310
TX50_RS00285		phage holin family protein	WP_011131692.1		0	3	0	0	0	0	0	0	0	84	152	522	49	152	97	281	204	28	18	174	41	44	149	113	229	77	46	54	0	216	315	259	167	183	173
TX50_RS00290		hypothetical protein	WP_011131693.1		0	0	0	0	0	5	0	0	0	458	597	1964	179	856	594	1250	923	127	175	824	362	292	577	347	701	317	198	173	2	768	938	909	667	568	552
TX50_RS00295		hypothetical protein	WP_011131694.1		1	0	0	0	0	3	1	0	0	1030	2616	393	100	398	265	800	732	61	121	478	93	73	308	197	484	602	140	260	3	2613	2892	3452	42	96	77
TX50_RS00300	smc	chromosome segregation protein SMC	WP_036930396.1		0	6	2	5	6	4	3	7	2	249	651	431	149	313	158	398	307	96	102	330	98	130	236	213	306	119	79	109	6	800	739	919	166	146	134
TX50_RS00305		PRC-barrel domain-containing protein	WP_036930395.1		0	0	3	0	0	0	0	3	0	140	384	834	79	278	184	382	291	63	132	389	175	135	230	258	390	116	71	122	0	495	734	583	883	954	953
TX50_RS00310		hypothetical protein	WP_011131697.1		1	2	1	2	0	0	0	0	0	194	318	318	87	270	151	330	237	34	66	320	101	88	200	110	298	69	31	75	2	313	616	643	118	120	91
TX50_RS00320	accC	acetyl-CoA carboxylase biotin carboxylase subunit	WP_011131698.1		0	0	0	4	0	2	0	0	0	909	2232	622	294	824	457	1032	831	166	137	622	184	119	280	234	432	301	128	217	0	3066	3619	3417	199	118	170
TX50_RS00325		YggT family protein	WP_011131699.1		3	0	0	0	0	0	0	0	4	372	737	443	87	250	202	528	459	35	81	313	64	71	84	124	240	200	77	113	0	967	930	913	80	123	106
TX50_RS00330		photosystem II reaction center X protein	WP_036930392.1		0	0	0	0	0	3	0	0	1	2098	3080	1190	269	1065	628	2039	1394	230	231	860	228	176	336	476	550	631	289	360	0	3977	5834	4747	78	93	77
TX50_RS00335		Ycf66 family protein	WP_011131701.1		1	0	0	2	2	8	0	3	0	3084	6454	10757	2153	5228	3546	9460	7151	1613	1776	6914	2967	2590	3825	2258	4172	2380	1503	2092	5	6950	7859	8868	4681	4576	4643
TX50_RS00340		high light inducible protein	WP_011131702.1		0	0	0	2	0	0	0	0	0	255	347	197	54	237	121	332	259	24	51	154	84	56	96	61	117	90	39	64	0	423	548	595	55	92	64
TX50_RS00345		ABC transporter ATP-binding protein/permease	WP_011131703.1		0	1	0	1	0	0	0	0	1	593	1667	1309	349	599	442	1230	951	265	310	1004	470	415	680	667	885	613	377	508	3	2102	2490	2310	767	1052	1056
TX50_RS00350		hypothetical protein	WP_011131704.1		0	0	0	0	0	0	0	0	3	136	340	288	67	203	120	314	298	50	82	282	127	102	184	237	371	155	45	77	0	451	339	487	88	213	148
TX50_RS00355		histidine triad nucleotide-binding protein	WP_011131705.1		0	0	0	0	0	0	0	0	0	148	310	473	113	268	121	444	328	64	73	329	121	117	155	127	196	143	62	87	0	444	635	534	234	452	482
TX50_RS00360	def	peptide deformylase	WP_011131706.1		0	0	0	0	0	7	0	2	3	199	408	721	100	307	254	574	453	72	167	578	274	229	342	295	456	247	134	161	0	635	662	583	308	470	482
TX50_RS00365		prolyl oligopeptidase family serine peptidase	WP_011131707.1		4	0	0	0	0	0	0	7	0	49	120	123	37	113	61	75	103	10	45	134	46	49	72	66	154	59	28	54	1	210	243	245	48	89	66
TX50_RS00370		SufS family cysteine desulfurase	WP_011131708.1		0	0	0	0	0	2	0	4	0	231	560	191	101	247	172	396	300	81	105	371	172	135	221	260	326	139	67	107	1	689	684	808	60	124	192
TX50_RS00375		SufD family Fe-S cluster assembly protein	WP_011131709.1		0	0	0	0	0	0	1	0	0	77	230	101	70	90	44	147	123	18	43	125	60	41	87	96	76	71	16	45	1	336	180	224	50	48	65
TX50_RS00380	sufC	Fe-S cluster assembly ATPase SufC	WP_011131710.1		0	0	0	0	0	0	1	0	0	261	621	761	298	369	207	783	566	151	189	566	241	172	359	320	471	342	203	374	0	898	1337	902	695	1028	1292
TX50_RS00385	sufB	Fe-S cluster assembly protein SufB	WP_011131711.1		0	0	0	6	0	0	0	0	0	1768	3845	4010	941	2181	1284	3991	2828	896	1145	3476	1909	1558	2503	2122	2822	2520	1485	1934	1	5976	6884	6205	4364	6291	6685
TX50_RS00390		hypothetical protein	WP_011131712.1		0	0	0	0	0	0	0	0	0	27	67	30	18	34	18	16	22	14	0	10	4	2	15	16	2	17	0	12	0	109	84	75	8	35	16
TX50_RS00395		DUF4912 domain-containing protein	WP_011131713.1		0	0	0	7	0	2	0	0	0	1498	4265	9998	529	3074	1965	3763	2610	309	407	952	438	428	675	862	801	986	520	804	6	5868	7725	5497	4877	4974	3752
TX50_RS00405		alpha-D-glucose phosphate-specific phosphoglucomutase	WP_011131714.1		0	5	0	1	0	1	0	0	0	663	1529	753	176	518	293	927	664	98	117	326	100	119	219	272	377	271	162	226	1	1851	2254	2151	467	672	466
TX50_RS00410		AAA family ATPase	WP_011131715.1		0	5	0	2	0	0	0	0	0	145	342	344	78	165	105	270	217	40	46	177	53	72	118	103	166	100	50	96	0	475	554	576	65	151	123
TX50_RS00415		4'-phosphopantetheinyl transferase superfamily protein	WP_011131716.1		0	0	0	0	0	0	0	1	0	146	234	110	81	174	91	200	173	30	34	205	65	55	108	101	143	59	40	42	1	334	403	397	51	52	91
TX50_RS00420	bcp	thioredoxin-dependent thiol peroxidase	WP_011131717.1		0	0	0	0	0	0	0	0	8	2140	3711	1573	405	1289	800	2148	1773	121	180	970	174	172	278	379	346	564	196	296	0	4340	4348	4488	188	230	158
TX50_RS00425		type III pantothenate kinase	WP_011131718.1		0	0	0	0	0	0	0	0	0	82	148	97	40	36	59	110	86	30	45	97	30	37	40	51	47	71	19	41	0	222	218	217	40	74	77
TX50_RS00430		phosphoadenylyl-sulfate reductase	WP_011131719.1		0	7	0	7	0	0	0	2	0	457	929	373	106	367	194	480	394	47	99	482	164	108	235	229	374	132	71	120	3	1274	1578	1522	64	138	81
TX50_RS00435		FAD-dependent oxidoreductase	WP_011131720.1		0	0	0	4	1	0	0	0	0	92	204	222	44	80	69	157	190	34	30	97	56	37	57	72	131	94	39	48	0	226	256	299	119	178	200
TX50_RS00440		SLC13 family permease	WP_011131721.1		0	1	0	2	0	5	0	3	0	1351	2378	2174	454	1207	706	1893	1518	311	276	977	404	295	548	416	483	666	319	440	0	3089	3587	3794	940	1163	1007
TX50_RS00445		potassium transporter TrkG	WP_011131722.1		0	1	1	5	0	0	0	0	2	224	464	503	78	226	144	329	240	115	121	325	170	117	180	163	275	177	127	148	0	539	584	699	444	566	644
TX50_RS00450		TrkA family potassium uptake protein	WP_011131723.1		0	0	0	0	0	0	0	0	1	485	901	837	171	720	460	903	615	258	283	1045	506	395	487	503	685	435	256	277	2	1435	1809	1528	461	475	543
TX50_RS00455		hypothetical protein	WP_011131724.1		0	0	0	0	0	7	2	0	0	368	604	4610	275	2478	1546	4531	3129	811	1122	6172	2256	2008	2071	1651	2603	1286	750	1108	0	787	1296	1053	2444	2740	2901
TX50_RS00460		hypothetical protein	WP_011131725.1		2	0	0	0	0	8	0	0	0	385	1195	4863	333	2087	1327	4231	3199	393	535	2421	861	801	1298	787	1217	1483	693	1064	0	1385	1466	1378	1218	2496	1852
TX50_RS00465		hypothetical protein	WP_011131726.1		1	0	0	0	0	0	0	0	0	558	1435	4649	441	1848	1232	3615	2913	270	457	2318	823	670	1169	780	1048	1659	670	1147	0	1810	1777	1717	1313	2313	2058
TX50_RS00475		ATP-binding cassette domain-containing protein	WP_011131727.1		0	0	0	0	3	0	2	0	0	210	475	504	156	292	147	469	355	82	134	427	220	169	348	265	422	264	131	146	0	614	729	712	545	843	899
TX50_RS00480		trypsin-like peptidase domain-containing protein	WP_011131728.1		2	0	0	3	6	0	0	0	0	490	878	1382	160	517	355	808	499	55	88	435	120	120	226	283	378	246	113	138	1	1126	1204	1223	728	771	735
TX50_RS00485		DUF2973 domain-containing protein	WP_011131729.1		2	0	0	0	0	4	0	0	0	958	1423	1845	364	1152	776	2201	1584	252	370	1233	815	722	919	940	1291	824	391	471	0	1948	1898	2193	926	1418	1316
TX50_RS00490		hypothetical protein	WP_042115974.1		0	1	0	0	0	0	0	0	0	773	1785	2512	532	1032	556	2136	1407	266	443	1371	797	705	1110	1147	1513	858	500	737	4	2502	2550	2552	1153	1830	2125
TX50_RS00495		high light inducible protein	WP_011131731.1		0	0	0	0	0	0	0	0	0	560	892	722	120	820	451	1471	1052	174	251	1283	521	420	680	560	1220	504	291	472	0	1455	1706	1530	236	474	564
TX50_RS00500		hypothetical protein	WP_011131732.1		0	0	0	0	0	0	0	0	0	53	200	119	43	70	46	100	94	31	16	99	51	24	57	63	41	105	36	39	0	238	238	325	40	66	73
TX50_RS00505		YihY/virulence factor BrkB family protein	WP_036930417.1		6	0	0	0	0	0	0	1	0	393	936	800	143	592	364	769	619	150	139	633	202	236	372	310	555	392	179	242	0	1217	1663	1438	295	450	488
TX50_RS00510		inositol monophosphatase family protein	WP_011131734.1		0	0	0	0	0	3	0	0	0	314	645	156	106	219	153	374	316	75	69	224	76	65	144	132	233	98	76	78	1	764	851	881	81	89	96
TX50_RS00515		TolC family protein	WP_011131735.1		0	0	0	1	0	0	0	0	0	287	613	494	238	344	237	478	371	80	137	431	190	168	320	333	178	133	78	121	2	931	820	836	105	232	144
TX50_RS00520		TIGR03279 family radical SAM protein	WP_011131736.1		0	0	0	2	0	3	1	0	1	92	234	378	128	137	81	242	237	41	69	188	88	98	165	128	135	100	34	49	0	353	345	309	113	235	161
TX50_RS00525		DUF3120 domain-containing protein	WP_011131737.1		0	0	0	4	0	0	1	0	0	85	249	202	76	142	84	188	199	125	103	251	147	101	114	154	116	100	66	116	1	305	381	325	280	325	353
TX50_RS00530	nadB	L-aspartate oxidase	WP_011131738.1		0	0	2	3	5	0	0	0	0	302	674	503	174	369	190	546	408	182	138	564	194	193	276	280	452	264	199	246	0	842	926	982	509	502	643
TX50_RS00535		vitamin K epoxide reductase family protein	WP_011131739.1		0	0	0	0	3	3	0	0	0	599	1554	3095	433	1015	704	1682	1299	283	386	1700	703	595	737	576	916	623	321	441	1	1994	2417	2263	1004	1556	1193
TX50_RS00540	rimO	30S ribosomal protein S12 methylthiotransferase RimO	WP_011131740.1		0	0	0	0	0	0	1	0	1	105	208	162	58	165	71	187	115	36	40	165	53	37	93	61	118	108	59	57	0	313	382	323	68	80	75
TX50_RS00550		DUF4346 domain-containing protein	WP_011131742.1		0	0	0	0	0	0	0	0	0	197	375	498	93	348	191	565	460	57	107	396	138	163	185	171	263	159	49	73	0	525	454	546	168	241	208
TX50_RS00555		GNAT family N-acetyltransferase	WP_011131743.1		0	0	1	0	2	0	0	0	0	37	124	75	84	73	37	113	85	7	16	68	42	49	62	69	49	49	21	36	0	155	97	141	89	70	65
TX50_RS00560		dihydrofolate reductase family protein	WP_011131744.1		0	0	0	0	0	0	3	0	0	271	801	524	446	403	279	699	484	47	91	283	175	136	330	303	91	373	171	283	0	1090	1168	1114	482	747	661
TX50_RS00565		6-carboxytetrahydropterin synthase	WP_011131745.1		1	0	0	0	0	5	0	3	1	2092	4306	3757	1729	2892	1895	5027	3932	1041	1520	5099	2193	1973	2936	2434	2120	2816	1392	1932	0	5324	6094	5888	2929	4409	3988
TX50_RS00570		shikimate kinase	WP_011131746.1		0	0	0	0	0	0	1	0	0	130	237	195	68	173	144	228	171	31	37	183	55	56	86	122	169	73	35	91	1	290	269	310	63	57	23
TX50_RS00575		chlororespiratory reduction protein 7	WP_011131747.1		0	0	4	0	0	0	0	0	0	19	58	44	8	18	13	41	22	4	6	14	1	4	10	2	10	14	4	12	0	61	29	30	18	30	12
TX50_RS00580		hypothetical protein	WP_011131748.1		0	1	1	0	0	0	0	0	0	101	271	160	96	185	112	218	164	21	48	200	68	74	74	74	48	66	26	65	0	337	315	341	48	83	61
TX50_RS00585		glutathione S-transferase family protein	WP_011131749.1		0	3	0	2	0	0	0	0	0	143	388	395	119	189	120	351	225	39	86	218	122	69	145	187	154	132	65	77	3	658	576	587	174	327	226
TX50_RS00590	rbfA	30S ribosome-binding factor RbfA	WP_011131751.1		0	0	0	0	0	0	0	0	0	48	151	205	32	103	38	210	102	36	34	124	25	32	53	70	78	28	16	25	0	209	221	176	66	188	76
TX50_RS00595		uroporphyrinogen-III synthase	WP_036930414.1		0	0	0	0	0	0	1	5	2	148	249	117	48	86	48	157	118	59	67	140	56	53	93	87	133	101	37	60	3	317	330	340	66	137	188
TX50_RS00600		SRPBCC family protein	WP_011131753.1		0	0	0	0	0	2	0	0	0	210	385	425	118	321	168	593	445	143	209	602	283	262	338	331	540	325	205	313	0	584	755	730	616	853	1080
TX50_RS00605	zds	9,9'-di-cis-zeta-carotene desaturase	WP_011131754.1		0	2	1	1	0	5	1	1	0	642	1493	1946	404	1044	648	1954	1381	676	723	1650	1235	1074	1369	1336	1457	1426	909	1084	4	1974	2426	2376	2280	3355	3943
TX50_RS00610		iron-sulfur cluster assembly accessory protein	WP_011131755.1		0	2	0	0	0	0	0	1	0	724	1820	1804	201	794	509	1879	1254	240	395	1390	671	627	691	535	1224	397	252	486	2	2117	2632	2236	766	715	727
TX50_RS00615		hypothetical protein	WP_011131756.1		0	0	0	4	0	0	0	0	0	763	1692	1666	179	676	389	1744	1252	248	174	720	301	261	556	348	524	488	224	355	0	2119	3189	2365	646	833	827
TX50_RS00620		lipid-A-disaccharide synthase-related protein	WP_011131757.1		0	0	0	6	0	0	0	1	0	48	184	126	44	78	46	155	145	37	32	113	45	33	60	66	75	89	63	65	0	259	240	295	93	181	124
TX50_RS00625		hypothetical protein	WP_011131758.1		0	0	0	1	0	0	0	0	0	6	27	31	2	12	17	23	18	7	2	18	6	3	12	10	14	18	8	5	0	39	37	49	33	73	34
TX50_RS00630		TIGR01777 family oxidoreductase	WP_011131759.1		0	0	0	0	1	0	0	0	0	218	397	1577	140	465	396	648	506	111	150	343	217	188	431	398	259	224	159	187	1	650	672	599	595	574	450
TX50_RS00635		NAD(P)H-quinone oxidoreductase subunit O	WP_011131760.1		0	0	0	0	0	0	0	0	0	116	172	218	19	156	109	183	118	14	50	188	69	58	91	85	209	86	59	35	0	204	275	323	82	89	110
TX50_RS00640		DnaJ domain-containing protein	WP_011131761.1		0	0	0	0	4	6	3	3	0	27	83	149	56	66	35	88	60	3	40	78	49	52	70	59	111	42	13	20	0	101	140	103	65	143	91
TX50_RS00645	cysK	cysteine synthase A	WP_011131762.1		0	0	0	0	0	3	1	0	0	97	223	731	90	316	235	456	314	85	144	451	180	174	281	235	472	116	113	132	0	317	587	355	350	494	542
TX50_RS00650		hypothetical protein	WP_011131763.1		0	0	0	0	0	0	0	0	0	242	512	407	75	308	166	384	277	18	30	207	87	84	105	144	189	111	58	75	0	618	577	659	104	169	96
